,Artist,Album
1662,Para Lia,Gone With The Flow
1663,Straight White Teeth,Intimacy Coordinator
1664,"Black Country, New Road",Ants From Up There
1665,Lady Pills,What I Want
1666,OMBIIGZI,Sewn Back Together
1667,"Moonchild, III Camille",Starfruit
1668,Crystal Murray,Twisted Bases
1669,Pink Mountaintops,Lights of the City
1670,Khruangbin and Leon Bridges,Texas Moon
1671,The Ophelias,Bare Bodkin
1672,Big Little Lions,Someday
1673,Church of Trees,Pish Posh
1674,Raveena ,Asha's Awakening
1675,alt-j,The Dream
1676,Beach House,Once Twice Melody
1677,The Thing With Feathers,Sundays in the South
1678,The Venus in Scorpio,As Above
1679,Granola Boy,Favorite Mistake
1680,Come,Peel Sessions
1681,MAITA,I Just Want To Be Wild For You
1682,Foreign Air,Why Don't You Feel the Way I Do?
1683,Ben Auld,Lemongrass
1684,Myd,Born A Loser
1685,Tempest ,Lemon Pepper Wet
1686,Panjoma,Sun and Moon
1687,Monsoon,Ghost Party
1688,Danny G,Believing
1689,Summer Rental,New Fix
1690,Kid Sistr,Kid Sistr
1691,Deserta,"Every Moment, Everything You Need"
1692,Sofia Bolt,Soft Like a Peach
1693,KAINA,It Was a Home
1694,Los Saints ,Fouund You Somewhere
1695,Bathtub Cig,Night Blindness
1696,Little Simz ft: Cleo Sol,Woman
1697,SAULT,WHY WHY WHY WHY WHY
1698,SAULT,Don't Waste My Time
1699,Cleo Sol,23
1700,Cleo Sol,When I'm In Your Arms
1701,Snapped Ankles,Barbecue in Brazil
1702,No Swoon,Bedside
1703,sadie,4am
1704,Widowspeak,The Jacket
1705,Barrie,Jenny
1706,Basement Revolver,Embody
1707,String Machine,Hallelujah Hell Yeah
1708,Early Eyes,Look Alive!
1709,Sis,Gnani
1710,Krystal Karting ,Silverball
1711,A Place To Bury Strangers,See Through You
1712,Soccer Mommy,Shotgun
1713,The Mary Veils,Bone Blossom Green
1714,Nilufer Yanya,Painless
1715,Ethan P. Flynn,Distraught
1716,Mdou Moctar,Nakanegh Dich
1717,The Black Keys,Wild Child
1718,Luliano,On The Radio
1719,Spoon,Lucifer on the Sofa
1720,Marco Benevento,Marco & Mimo
1721,Luna Li ,Duality
1722,Blue J,A Sign of Good Luck
1723,VHS Collection,Night Drive
1724,Lowlight,They Know
1725,Euglossine,Some Kind Of Forever
1726,El Ten Eleven,New Year's Eve
1727,Christian Lee Hutson,Quitters
1728,Half Dream,Too Much
1729,yeule,Glitch Princess
1730,RINAS,Singing In My Sleep
1731,NewDad,Banshee
1732,SIV Disa,DREAMHOUSE
1733,Methyl Ethel,Are you Haunted?
1734,Ethan P. Flynn,Universal Deluge
1735,Dez Dare,Ulysses Trash
1736,Chayse Porter,Chay's Palace
1737,Bad Pop,Psych Pedal
1738,Letting Up Despite Great Faults,IV
1739,Lammping,Stars We Lost
1740,System Exclusive,System Exclusive
1741,Pictish Trail,Island Family
1742,Francis of Delirium,The Funhouse
1743,Shaylee,Short-Sighted Security
1744,Blue States,World Contact Day
1745,Trust Us,Non-Zero-Sum Game
1746,Eamon,No Matter The Season
1747,Kishi Bashi,151a (Demo-arigato Version)
1748,Superchunk,Wild Loneliness
1749,King Goon,Admit Nothing! Deny Everything! Lie! Lie! Lie!
1750,The Golden Glows,On Moonlight
1751,Tre Burt,"You, Yeah, You"
1752,King Pari,Mary
1753,Carson Mchone,Still Life
1754,leon,PPONG
1755,Caroline Loveglow,Strawberry
1756,Midlake,For The Sake of Bethel Woods
1757,The Mysterines,Reeling
1758,Mattiel,Georgia Gothic
1759,Nina Garbus,Wellness Center
1760,The Freakout,Cycle of Debt
1761,Scrunchies,Feral Coast
1762,Astragal,Pure Cashmere
1763,Pillow Queens,Leave The Light On
1764,Day Wave,Pastlife
1765,Scott Klein,Jesse's Hotel
1766,Double Rider,Double Rider EP
1767,Permanent Loan,Empire of Dust
1768,Pluralone,This is the Show
1769,Shiva Burlesque,Mercury Blues + Skulduggery
1770,Noon Garden,Beulah Spa
1771,Stacey Cohen,Wild Service
1772,Polyplastic,Medium Complications
1773,Destroyer,LABYRINTHITIS
1774,Elephant Stone,Le Voyage de M. Lonely dans la Lune
1775,Pearly,Silver Of The Mirror
1776,Folly Group,Human and Kind
